id,name,lat,lon,typ,status,qualitaet,preis,quelle_import,dupe_flag,geaendert_am,gmaps_url,place_id,kueche,tags,quelle,geprueft_am
r0137,Crackers,52.5164823,13.3887471,Restaurant,besucht,sehr_gut,teuer,fav,,2026-07-29,,ChIJtfHSjcZRqEcRjbWPs_LZMCg,,dinner,,2026-07-29
r0138,Creasian Restaurant,52.524181,13.3992844,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJO8qLJOdRqEcRwkNLR6KuJJY,vietnamesisch,"lunch, dinner",,2026-07-29
r0139,Cuore Di Vetro,52.5266183,13.4085104,Eis,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJVwi_HOJRqEcRdZxCHyZt1D0,,kaffee,,2026-07-29
r0140,Cupcake,52.51079,13.457807,Café,besucht,sehr_gut,normal,fav,,2026-07-29,,,,kaffee,,2026-07-29
r0141,Curry 36,52.49345,13.387723,Imbiss,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJyaf_HylQqEcRBNsfZFxr-IQ,,"lunch, dinner",,2026-07-29
r0142,Curry Mitte,52.5294318,13.4010458,Imbiss,besucht,mittel,normal,fav,,2026-07-29,,ChIJpepKXORRqEcRYF-hvEWxkDc,,"lunch, dinner",,2026-07-29
r0143,Cô Cô - Bánh mì deli,52.529172,13.401452,Imbiss,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJd66EaORRqEcRUtogh6PSMPU,vietnamesisch,"lunch, dinner",,2026-07-29
r0144,Dachkammer,52.511083,13.456957,Kneipe,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJRUoYo15OqEcRcNN6C3gKkUM,,drinks,,2026-07-29
r0145,Dada Falafel,52.5264427,13.3881916,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJW9STculRqEcR6jNnlUr6nF8,,"lunch, dinner",,2026-07-29
r0146,Dade Falafel,52.5436073,13.4168716,Imbiss,besucht,gut,normal,fav,,2026-07-29,,ChIJW0WjbwBSqEcRFV8FmvF0mUM,,"lunch, dinner",,2026-07-29
r0147,Dal Contadino Wine Bar,52.5276172,13.4048224,Restaurant,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJTYTHxeNRqEcRUOETIKlOa7E,,"lunch, dinner",,2026-07-29
r0148,DAO Thai-Restaurant,52.5060468,13.3150963,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,,thai,"lunch, dinner",,2026-07-29
r0151,Delizie D'Italia,52.539074,13.421408,Restaurant,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJn4Ot3QBOqEcRVP6CMFUVhT8,,"lunch, dinner",,2026-07-29
r0152,Der blaue Fuchs,52.5358917,13.4162625,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJO9gSHQZPqEcRpzlBbrmTXy0,,"lunch, dinner",,2026-07-29
r0153,Der goldene Hahn,52.5023513,13.4303999,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJUx1eNTdPqEcRGIOTmKdJB1Y,,"lunch, dinner",,2026-07-29
r0154,Der Hahn ist tot!,52.5340085,13.4043868,Restaurant,besucht,gut,normal,fav,,2026-07-29,,,,"lunch, dinner",,2026-07-29
